OrderID,Date,Category,ProductName,OriginalPrice,Discount%,SalePrice,Quantity,TotalSale,PaymentMethod,Region
ORD1000,12-10-2024,Electronics,Smartphone,63598,30,44518,2,89036,Credit Card,Mumbai
ORD1001,11-10-2024,Furniture,Table,3520,10,3168,1,3168,Credit Card,Mumbai
ORD1002,13-10-2024,Furniture,Table,6611,40,3966,5,19830,,Jaipur
ORD1003,10-10-2024,Grocery,Cooking Oil 5L,918,20,734,3,2202,UPI,Delhi
ORD1004,11-10-2024,Electronics,Headphones,9027,50,4513,1,4513,Cash on Delivery,Delhi
ORD1005,09-10-2024,Grocery,Coffee 200g,298,10,268,1,268,Credit Card,Jaipur
ORD1006,08-10-2024,Beauty,Face Cream,1228,30,859,2,1718,Debit Card,Bangalore
ORD1007,10-10-2024,Electronics,Headphones,4303,50,2151,2,4302,Credit Card,Kolkata
ORD1008,09-10-2024,Fashion,Shoes,4156,10,3740,2,7480,UPI,Jaipur
ORD1009,10-10-2024,Furniture,Bookshelf,5077,20,4061,4,16244,Cash on Delivery,Hyderabad
ORD1010,08-10-2024,Furniture,Table,10019,50,5009,4,20036,Debit Card,Mumbai
ORD1011,10-10-2024,Electronics,Smartphone,56120,20,44896,4,179584,UPI,Kolkata
ORD1012,09-10-2024,Furniture,Chair,2438,50,1219,3,3657,Debit Card,Delhi
ORD1013,12-10-2024,Grocery,Coffee 200g,590,20,472,5,2360,UPI,Jaipur
ORD1014,09-10-2024,Fashion,Jeans,1661,50,830,5,4150,UPI,Chennai
ORD1015,12-10-2024,Grocery,Rice 5kg,309,20,247,5,1235,UPI,Delhi
ORD1016,11-10-2024,Fashion,T-Shirt,975,40,585,5,2925,Credit Card,Bangalore
ORD1017,12-10-2024,Furniture,Bookshelf,8151,20,6520,3,19560,Cash on Delivery,Hyderabad
ORD1018,08-10-2024,Fashion,T-Shirt,365,30,255,1,255,,Chennai
ORD1019,12-10-2024,Electronics,Smartphone,36654,10,32988,5,164940,Credit Card,Bangalore
ORD1020,07-10-2024,Furniture,Bookshelf,6372,20,5097,4,20388,Cash on Delivery,Mumbai
ORD1021,09-10-2024,Beauty,Perfume,1021,10,918,1,918,Cash on Delivery,Hyderabad
ORD1022,08-10-2024,Furniture,Table,5296,40,3177,2,6354,Debit Card,Kolkata
ORD1023,13-10-2024,Furniture,Chair,1914,50,957,1,957,UPI,Jaipur
ORD1024,13-10-2024,Beauty,Shampoo,368,40,220,1,220,Cash on Delivery,Bangalore
ORD1025,08-10-2024,Furniture,Bookshelf,8385,40,5031,2,10062,Credit Card,Bangalore
ORD1026,11-10-2024,Grocery,Rice 5kg,301,50,150,4,600,Credit Card,Delhi
ORD1027,07-10-2024,Fashion,Jeans,1491,50,745,2,1490,UPI,Chennai
ORD1028,12-10-2024,Grocery,Rice 5kg,571,20,456,3,1368,Cash on Delivery,Mumbai
ORD1029,11-10-2024,Electronics,Smartphone,45034,50,22517,5,112585,UPI,Delhi
ORD1030,11-10-2024,Electronics,Smartphone,39217,30,27451,2,54902,Cash on Delivery,Jaipur
ORD1031,07-10-2024,Furniture,Chair,3952,10,3556,2,7112,Debit Card,Delhi
ORD1032,13-10-2024,Fashion,Shoes,4308,20,3446,3,10338,Cash on Delivery,Bangalore
ORD1033,07-10-2024,Electronics,Smartphone,36859,20,29487,3,88461,Credit Card,Hyderabad
ORD1034,08-10-2024,Fashion,Shoes,1795,30,1256,5,6280,,Kolkata
ORD1035,11-10-2024,Electronics,Laptop,67535,20,54028,1,54028,Debit Card,Jaipur
ORD1036,08-10-2024,Fashion,T-Shirt,1185,20,948,2,1896,Cash on Delivery,Delhi
ORD1037,10-10-2024,Fashion,Jeans,1652,10,1486,4,5944,UPI,Jaipur
ORD1038,09-10-2024,Grocery,Rice 5kg,478,10,430,2,860,Cash on Delivery,Bangalore
ORD1039,08-10-2024,Furniture,Table,11785,30,8249,1,8249,UPI,Bangalore
ORD1040,11-10-2024,furniture,Table,8663,30,6064,4,24256,UPI,Kolkata
ORD1041,12-10-2024,Furniture,Bookshelf,8126,20,6500,3,19500,Cash on Delivery,Delhi
ORD1042,10-10-2024,Electronics,Headphones,6420,50,3210,3,9630,Cash on Delivery,Bangalore
ORD1043,11-10-2024,Beauty,Perfume,3864,20,3091,5,15455,Debit Card,Kolkata
ORD1044,12-10-2024,Furniture,Bookshelf,7863,30,5504,4,22016,Cash on Delivery,Kolkata
ORD1045,13-10-2024,Fashion,Shoes,2194,30,1535,5,7675,Debit Card,Delhi
ORD1046,13-10-2024,Fashion,T-Shirt,325,10,292,2,584,Cash on Delivery,Chennai
ORD1047,12-10-2024,Furniture,Chair,4645,40,2787,4,11148,Credit Card,Mumbai
ORD1048,11-10-2024,Electronics,Laptop,68683,20,54946,5,274730,Cash on Delivery,Delhi
ORD1049,10-10-2024,Beauty,Perfume,2975,50,1487,5,7435,Debit Card,Jaipur
ORD1050,08-10-2024,Furniture,Table,5607,40,3364,4,13456,Debit Card,Jaipur
ORD1051,09-10-2024,Beauty,Perfume,1779,30,1245,4,4980,UPI,Hyderabad
ORD1052,08-10-2024,Electronics,Smartphone,24884,20,19907,4,79628,Credit Card,Hyderabad
ORD1053,13-10-2024,Beauty,Shampoo,411,40,246,4,984,UPI,Jaipur
ORD1054,08-10-2024,Grocery,Cooking Oil 5L,1458,50,729,5,3645,Credit Card,Kolkata
ORD1055,11-10-2024,beauty,Perfume,1476,40,885,2,1770,UPI,Kolkata
ORD1056,08-10-2024,Fashion,Jeans,1744,10,1569,3,4707,Cash on Delivery,Bangalore
ORD1057,11-10-2024,Grocery,Cooking Oil 5L,1116,10,1004,4,4016,UPI,Hyderabad
ORD1058,07-10-2024,Electronics,Headphones,2159,10,1943,2,3886,Credit Card,Jaipur
